DM values: ['9.999935', '10.000205', '9.999849', '10.000192']
Shift values: ['0.009124', '-0.004431', '-0.003421', '0.005836']

1it [00:00, ?it/s]
71it [00:00, 692.35it/s, bound:0 nc:  1 ncall:3.3e+02 eff:21.8% logz=-868434.35+/-0.16 dlogz:675245.979>0.1]
141it [00:00, 579.94it/s, bound:0 nc:  3 ncall:4.3e+02 eff:32.7% logz=-827486.90+/-0.16 dlogz:671254.101>0.1]
1951it [01:09, 16.66it/s, bound:66 nc: 33 ncall:5.0e+04 eff:3.9% logz=-130726.90+/-0.24 dlogz:27076.936>0.1]
1975it [01:10, 17.70it/s, bound:68 nc: 41 ncall:5.1e+04 eff:3.9% logz=-129437.29+/-0.24 dlogz:25806.366>0.1]
1999it [01:12, 15.88it/s, bound:69 nc: 36 ncall:5.2e+04 eff:3.9% logz=-128275.23+/-0.24 dlogz:24610.705>0.1]
2022it [01:13, 17.12it/s, bound:72 nc: 34 ncall:5.3e+04 eff:3.8% logz=-126986.75+/-0.24 dlogz:23397.947>0.1]
2045it [01:15, 15.46it/s, bound:73 nc: 34 ncall:5.4e+04 eff:3.8% logz=-124846.27+/-0.24 dlogz:21206.843>0.1]
2068it [01:17, 13.97it/s, bound:75 nc: 58 ncall:5.5e+04 eff:3.7% logz=-123233.42+/-0.24 dlogz:19774.434>0.1]
2091it [01:18, 13.71it/s, bound:77 nc: 64 ncall:5.7e+04 eff:3.7% logz=-121550.47+/-0.24 dlogz:17941.938>0.1]
2114it [01:20, 14.90it/s, bound:79 nc: 55 ncall:5.8e+04 eff:3.6% logz=-120562.38+/-0.24 dlogz:16954.299>0.1]
2138it [01:22, 12.98it/s, bound:81 nc: 39 ncall:5.9e+04 eff:3.6% logz=-119422.90+/-0.24 dlogz:15765.720>0.1]
2160it [01:24, 12.92it/s, bound:84 nc: 76 ncall:6.1e+04 eff:3.6% logz=-118616.36+/-0.24 dlogz:15021.286>0.1]
2183it [01:25, 13.61it/s, bound:85 nc: 54 ncall:6.2e+04 eff:3.5% logz=-117867.28+/-0.24 dlogz:14209.620>0.1]
2207it [01:27, 13.44it/s, bound:87 nc: 47 ncall:6.3e+04 eff:3.5% logz=-116621.92+/-0.24 dlogz:12989.421>0.1]
2230it [01:29, 12.60it/s, bound:89 nc: 58 ncall:6.4e+04 eff:3.5% logz=-116215.63+/-0.23 dlogz:12546.869>0.1]
2252it [01:30, 13.93it/s, bound:92 nc: 67 ncall:6.6e+04 eff:3.4% logz=-115574.26+/-0.24 dlogz:11915.922>0.1]
2276it [01:32, 14.10it/s, bound:93 nc: 37 ncall:6.7e+04 eff:3.4% logz=-114772.11+/-0.25 dlogz:11118.265>0.1]
2299it [01:34, 12.72it/s, bound:95 nc: 52 ncall:6.8e+04 eff:3.4% logz=-113959.95+/-0.23 dlogz:10290.878>0.1]
2321it [01:36, 13.40it/s, bound:98 nc: 70 ncall:6.9e+04 eff:3.3% logz=-113379.86+/-0.24 dlogz:9711.464>0.1] 
2342it [01:37, 13.38it/s, bound:99 nc: 45 ncall:7.0e+04 eff:3.3% logz=-112698.43+/-0.24 dlogz:9029.991>0.1]
2366it [01:41, 10.38it/s, bound:101 nc: 49 ncall:7.2e+04 eff:3.3% logz=-111823.86+/-0.25 dlogz:8259.045>0.1]
2389it [01:42, 10.88it/s, bound:105 nc:109 ncall:7.4e+04 eff:3.2% logz=-110987.72+/-0.23 dlogz:7318.330>0.1]
2412it [01:45,  9.70it/s, bound:107 nc: 94 ncall:7.6e+04 eff:3.2% logz=-110457.18+/-0.23 dlogz:6787.612>0.1]
2435it [01:48, 10.01it/s, bound:110 nc: 94 ncall:7.8e+04 eff:3.1% logz=-110119.02+/-0.25 dlogz:6453.591>0.1]
2459it [01:49, 11.86it/s, bound:113 nc: 67 ncall:7.9e+04 eff:3.1% logz=-109608.86+/-0.25 dlogz:6053.998>0.1]
2482it [01:53,  9.07it/s, bound:114 nc: 37 ncall:8.0e+04 eff:3.1% logz=-109287.82+/-0.25 dlogz:5662.817>0.1]
2504it [01:55,  9.21it/s, bound:119 nc:126 ncall:8.3e+04 eff:3.0% logz=-108867.72+/-0.24 dlogz:5198.624>0.1]
2527it [02:03,  5.44it/s, bound:121 nc: 73 ncall:8.5e+04 eff:3.0% logz=-108625.69+/-0.24 dlogz:4956.503>0.1]
2551it [02:07,  5.55it/s, bound:129 nc:132 ncall:9.1e+04 eff:2.8% logz=-108337.52+/-0.24 dlogz:4668.255>0.1]
2572it [02:09,  6.75it/s, bound:134 nc:132 ncall:9.4e+04 eff:2.7% logz=-108225.64+/-0.24 dlogz:4556.273>0.1]
2596it [02:19,  4.21it/s, bound:135 nc: 44 ncall:9.5e+04 eff:2.7% logz=-108018.49+/-0.25 dlogz:4366.101>0.1]
2620it [02:22,  5.06it/s, bound:147 nc:332 ncall:1.0e+05 eff:2.5% logz=-107822.05+/-0.24 dlogz:4151.559>0.1]
2644it [02:29,  4.23it/s, bound:150 nc: 82 ncall:1.0e+05 eff:2.5% logz=-107756.84+/-0.25 dlogz:4087.185>0.1]
2668it [02:34,  4.44it/s, bound:158 nc:247 ncall:1.1e+05 eff:2.4% logz=-107678.66+/-0.24 dlogz:4008.057>0.1]
2689it [02:37,  4.90it/s, bound:163 nc:154 ncall:1.1e+05 eff:2.4% logz=-107231.85+/-0.26 dlogz:3587.176>0.1]
2709it [02:40,  5.38it/s, bound:166 nc:100 ncall:1.2e+05 eff:2.3% logz=-107031.65+/-0.24 dlogz:3360.973>0.1]
2732it [02:46,  4.72it/s, bound:170 nc: 87 ncall:1.2e+05 eff:2.3% logz=-106649.19+/-0.24 dlogz:2978.339>0.1]
2752it [02:49,  5.16it/s, bound:175 nc:197 ncall:1.2e+05 eff:2.3% logz=-106550.92+/-0.24 dlogz:2880.065>0.1]
2775it [02:52,  6.08it/s, bound:178 nc: 92 ncall:1.2e+05 eff:2.2% logz=-106061.94+/-0.25 dlogz:2391.174>0.1]
2798it [02:55,  6.16it/s, bound:180 nc: 73 ncall:1.3e+05 eff:2.2% logz=-105824.81+/-0.24 dlogz:2153.606>0.1]
2822it [02:59,  6.38it/s, bound:184 nc:115 ncall:1.3e+05 eff:2.2% logz=-105603.46+/-0.26 dlogz:1996.988>0.1]
2846it [03:02,  6.72it/s, bound:189 nc:208 ncall:1.3e+05 eff:2.2% logz=-105517.17+/-0.24 dlogz:1845.729>0.1]
2869it [03:05,  6.63it/s, bound:192 nc: 99 ncall:1.3e+05 eff:2.1% logz=-105366.45+/-0.25 dlogz:1695.299>0.1]
2893it [03:10,  5.90it/s, bound:196 nc:114 ncall:1.4e+05 eff:2.1% logz=-105243.86+/-0.24 dlogz:1572.228>0.1]
2915it [03:15,  5.51it/s, bound:202 nc:162 ncall:1.4e+05 eff:2.1% logz=-105091.41+/-0.23 dlogz:1419.639>0.1]
2938it [03:21,  4.89it/s, bound:207 nc:148 ncall:1.4e+05 eff:2.0% logz=-104932.82+/-0.24 dlogz:1261.025>0.1]
2961it [03:27,  4.43it/s, bound:213 nc:189 ncall:1.5e+05 eff:2.0% logz=-104880.53+/-0.24 dlogz:1208.654>0.1]
2983it [03:32,  4.45it/s, bound:221 nc:205 ncall:1.5e+05 eff:2.0% logz=-104825.24+/-0.25 dlogz:1153.233>0.1]
3006it [03:39,  4.04it/s, bound:227 nc:155 ncall:1.6e+05 eff:1.9% logz=-104740.44+/-0.27 dlogz:1080.586>0.1]
3028it [03:45,  3.94it/s, bound:235 nc:223 ncall:1.6e+05 eff:1.9% logz=-104735.77+/-0.24 dlogz:1063.538>0.1]
3052it [03:55,  3.36it/s, bound:241 nc:190 ncall:1.7e+05 eff:1.8% logz=-104659.67+/-0.25 dlogz:987.383>0.1] 
3073it [04:07,  2.65it/s, bound:253 nc:306 ncall:1.7e+05 eff:1.8% logz=-104464.49+/-0.25 dlogz:792.130>0.1]
3095it [04:10,  3.21it/s, bound:265 nc:1194 ncall:1.8e+05 eff:1.7% logz=-104456.85+/-0.25 dlogz:784.507>0.1]
3119it [04:16,  3.40it/s, bound:269 nc:110 ncall:1.9e+05 eff:1.7% logz=-104455.01+/-0.24 dlogz:782.353>0.1] 
3140it [04:25,  3.01it/s, bound:277 nc:494 ncall:1.9e+05 eff:1.6% logz=-104304.10+/-0.25 dlogz:631.421>0.1]
3161it [04:35,  2.67it/s, bound:285 nc:586 ncall:2.0e+05 eff:1.6% logz=-104301.85+/-0.24 dlogz:629.053>0.1]
3183it [04:39,  3.22it/s, bound:297 nc:766 ncall:2.1e+05 eff:1.5% logz=-104287.55+/-0.27 dlogz:615.101>0.1]
3206it [04:52,  2.56it/s, bound:301 nc:112 ncall:2.1e+05 eff:1.5% logz=-104285.23+/-0.25 dlogz:612.211>0.1]
